run_label,stratum,n,point_estimate,ci_low,ci_high,ci_width,batch_mean_estimate,batch_mean_available,fold,fold_sd
01_g1_tcga_vgg16,overall,778,0.792069,0.766713,0.816966,0.050253,,false,,
01_g1_tcga_vgg16,positive_only,295,0.526203,0.479411,0.571872,0.092461,,false,,
01_g1_tcga_vgg16,negative_only,483,0.954451,0.935766,0.973085,0.037319,,false,,
02_g1_tcga_mobilenet_v2,overall,778,0.840301,0.820478,0.859805,0.039327,,false,,
02_g1_tcga_mobilenet_v2,positive_only,295,0.626285,0.590883,0.660746,0.069864,,false,,
02_g1_tcga_mobilenet_v2,negative_only,483,0.971014,0.954451,0.985507,0.031056,,false,,
03_g1_panda_vgg16,overall,2104,0.987478,0.985559,0.989320,0.003760,,false,,
03_g1_panda_vgg16,positive_only,154,0.833256,0.832765,0.833889,0.001124,,false,,
03_g1_panda_vgg16,negative_only,1950,0.999658,0.999316,0.999915,0.000599,,false,,
04_g1_panda_mobilenet_v2,overall,2104,0.987748,0.985839,0.989577,0.003738,,false,,
04_g1_panda_mobilenet_v2,positive_only,154,0.832612,0.832465,0.832748,0.000283,,false,,
04_g1_panda_mobilenet_v2,negative_only,1950,1.000000,1.000000,1.000000,0.000000,,false,,
05_g1_siim_vgg16,overall,2135,0.777049,0.759251,0.794391,0.035141,,false,,
05_g1_siim_vgg16,positive_only,476,0.000000,0.000000,0.000000,0.000000,,false,,
05_g1_siim_vgg16,negative_only,1659,1.000000,1.000000,1.000000,0.000000,,false,,
06_g1_siim_mobilenet_v2,overall,2135,0.777049,0.759251,0.794391,0.035141,,false,,
06_g1_siim_mobilenet_v2,positive_only,476,0.000000,0.000000,0.000000,0.000000,,false,,
06_g1_siim_mobilenet_v2,negative_only,1659,1.000000,1.000000,1.000000,0.000000,,false,,
07_g2_tcga_vgg16,overall,778,0.745378,0.718454,0.772328,0.053874,,false,,
07_g2_tcga_vgg16,positive_only,295,0.613233,0.571903,0.654121,0.082217,,false,,
07_g2_tcga_vgg16,negative_only,483,0.826087,0.790890,0.859213,0.068323,,false,,
08_g2_tcga_mobilenet_v2,overall,778,0.833931,0.812389,0.854966,0.042577,,false,,
08_g2_tcga_mobilenet_v2,positive_only,295,0.589146,0.549974,0.626922,0.076948,,false,,
08_g2_tcga_mobilenet_v2,negative_only,483,0.983437,0.971014,0.993789,0.022774,,false,,
09_g2_panda_vgg16,overall,2104,0.987748,0.985839,0.989577,0.003738,,false,,
